longitude,latitude,name,icon,description,url_1,url_1_button_label,url_2,url_2_button_label,photo1_filename,photo2_filename,audio_filename
-74.1479662,42.5210361,Beach,Beach,Huyck Preserve members can buy a beach pass to enjoy swimming all summer!,https://www.huyckpreserve.org/lake-myosotis.html,Learn more,https://www.huyckpreserve.org/membership.html,Become a member,Beach_4.jpg,Beach_5.jpg,
-74.1484669,42.5221004,Boat Launch,Hand Launch,Huyck Preserve members can rent space for kayak and canoe storage.,https://www.huyckpreserve.org/lake-myosotis.html,Learn more,https://www.huyckpreserve.org/membership.html,Become a member,Boat_Rack_Kiosk.jpg,Boat_Rack_1.jpg,
-74.15907485,42.52675801,Research Center,Kiosk,The Eldridge Research Center is home to the Huyck Preserve's research and education programs.,https://www.huyckpreserve.org/research.html,About Our Research,https://www.huyckpreserve.org/education.html,About Education Programs,Eldridge_Research_Center.jpg,Research_Center_Buses.jpg,
-74.13986061,42.51526589,Visitors' Center,Kiosk,Stop at the Huyck Preserve's Visitors' Center to learn more. (hours may be affected by Covid-19),https://www.huyckpreserve.org/,Learn more,https://www.huyckpreserve.org/membership.html,Become a member,VisitorCenter1.jpg,VisitorCenterInterior.jpg,
-74.14215558,42.51565284,Lower Falls Trail,Trail,"Distance: 0.1 mi. Difficulty: Easy This trail takes you to the base of the Rensselaerville Falls, across Ten-Mile Creek to the ruins of the Huyck Felt Mill, and back to County Route 353. Enjoy the majestic hemlock forest and learn about the Preserve's citizen science phenology project while you walk.",,,,,LowerFalls_Trail_huyck_falls_bridge.jpg,LowerFallsTrail_StartofTrail.jpg,
-74.14027733,42.51445046,Post Office Trail,Trail,Distance: 0.09 mi. Difficulty: Easy This short spur connects the Upper Falls Trail with the Rensselaerville Post Office.,,,,,,,
-74.14406135,42.51451474,Upper Falls Trail,Trail,"Distance: 0.4 mi. Difficulty: Moderate This trail, that connects the Lower Falls Trail and Lake Trails, takes you through forests including dark hemlocks, mixed deciduous stands, and planted conifers. Take a moment to enjoy the sites and sounds of the Rensselaerville Falls at the Upper Falls overlook.",,,,,UpperFalls_Trail_3.jpg,UpperFallsTrail4.jpg,
-74.1457509,42.51472255,Lake Trail West,Trail,Distance: 1.3 mi. Difficulty: Moderate Enjoy a close-up view from the west side of Lake Myosotis as you pass under hemlock and deciduous canopies. This mostly level trail crosses bridges and boardwalks and includes some wet (muddy) and root-covered areas.,,,,,LakeTrailWest.jpg,Lake_Trail_West_usethis.jpg,
-74.1441481,42.51645441,Lake Trail East,Trail,"Distance: 1.2 mi. Difficulty: Easy This trail, along Ten-Mile Creek and the east side of Lake Myosotis, passes mixed deciduous forest, open, wet shrubland and planted coniferous forest, as well as the Lake Myosotis beach and boat launch.",,,,,Lake_Trail_East_3.jpg,Lake_Trail_East.jpg,
-74.15994969,42.53041331,Lincoln Pond Trail,Trail,"Distance: 0.8 mi. Difficulty: Easy This short loop around Lincoln Pond brings you through old growth hemlock forest, mixed deciduous stands, and across the diverse wetland at the back of the pond. Be sure to look for signs of beaver activity!",,,,,LP boardwalk.jpg,BFC_LP fall colors.jpg,
-74.15599141,42.52574106,Wheeler Watson Trail and Racetrack Trail,Trail,"Distance: 0.4 mi. Difficulty: Easy Recommended by history fans, this trail leads you past the 19th century Wheeler Watson Cemetery and to the Race Track Trail which is all that remains of the horse track owned by the Ordway family and operated into the mid 20th century. Enjoy the mixed deciduous forest and planted conifers along the way.",,,,,,,
-74.17768128,42.54928806,Partridge Path,Trail,Distance: 2.6 mi. Difficulty: Moderate Follow the Preserve's longest trail through northern hardwood forest and planted conifer stands. Portions follow a meandering creek.,,,,,Partidge_Path.jpg,,
-74.15745195,42.54036711,Valley Trail,Trail,Distance: 1.1 mi. Difficulty: Moderate Follow this alternate loop along the Partridge Path for a view of an extensive wetland.,,,,,,,
-74.16263687,42.54329806,Hill Trail,Trail,Distance: 0.7 mi. Difficulty: Moderate Follow this alternate loop along the Partridge Path for a slight elevation gain.,,,,,,,
-74.17800007,42.5471219,Creek Trail,Trail,Distance: 1.3 mi. Difficulty: Moderate Follow this alternate loop along the Partridge Path to walk along Ten-Mile Creek.,,,,,,,
-74.1497917,42.52491051,Ordway Trail,Trail,"Distance: 0.5 mi. Difficulty: Easy This trail connects Lake Trail East and the Race Track Trail and passes old field, pond, and planted conifer forest habitat.",,,,,Ordway_Trail_Fall.jpg,,
-74.14650674,42.51571867,Myosotis Dam Trail,Trail,Distance: 0.3 mi. Difficulty: Easy This short spur takes you from Lake Trail West to the Lake Myosotis Dam for a beautiful full view of the lake from its southern end. Note: This is a dead end trail; crossing the spillway is not permitted.,,,,,Dam_Trail.jpg,,
-74.14169144,42.5148954,Waterbury and Company Woolen Mill,Ruins,"<p>Just past the Lower Falls bridge, hikers will find the ruins of the Waterbury and Company woolen mill (1870&ndash;1878). There is evidence a mill existed at this site as early as 1794. It may have been a gristmill (for grinding grain) and later a fulling mill which processed wool from local farmers and returned it to them as finished fabric. The mill was situated on this site to harness the power of the Rensselaerville Falls. In 1860, Henry Waterbury rebuilt the site and installed new wool-processing machinery.</p><p>During the 1800s, woolen felts had become an integral part of paper production&mdash;the felt was used to make long continuous belts that picked up paper and carried it through machines as excess moisture was pressed out.</p><p>Waterbury saw an opportunity to make papermakers' felt at his mill. He partnered with Francis Conkling Huyck Sr. in 1870, and their mill became the fourth in the United States to manufacture these felts. Unfortunately, they faced many challenges such as labor shortages, product transportation problems, an insufficient supply of raw materials, and an unreliable source of waterpower. In 1879, Waterbury and Huyck dissolved their partnership and went their separate ways; the machinery was removed and the mill demolished. Huyck started his own felt-making business in Kenwood, near Albany. When that mill was destroyed by fire in 1894, he built a new one in Rensselaer and brought his three sons&mdash;Edmund, John, and Francis Jr.&mdash;into the new firm of F.C. Huyck &amp;amp; Sons, which continued to be a leading manufacturer of papermakers' felts, wool jackets, and bed blankets until the early 1980s.</p><p>This project was supported with funding from the New York State Conservation Partnership Program (NYSCPP) and New York's Environmental Protection Fund. The NYSCPP is administered by the Land Trust Alliance, in coordination with the state Department of Environmental Conservation.</p>",,,,,felt_mill_drawing.jpg,,WoolenMill_Audio_Test.mp3
